,minimum,maximum
R00662__cytop,0.0,6.319081413902449e-15
R00021__chlo,0.0,0.011708646594883
T_L_Threonine_V1__mitmem,0.0,2.4773669325913986e-15
T_5_Deoxyadenosine_V1__mitmem,3.6896186425069127e-06,3.6896186425069393e-06
R00028__cytop,0.0,0.0
TR2000129_PLAS__mitmem,0.0004853687000550836,0.32166442716015603
R01138__mito,0.0,0.0
R01194__cytop,0.0,0.0
TZ3100045_PLAS__ermem,0.0,3.5790221957044535e-05
R02408__mito,0.0,0.0
R08632__cytop,0.0,-7.616757529409826e-16
R01470__extr,0.0,0.0
R07085__chlo,3.758128041250458e-15,0.0
R07093__e_r_,0.0,0.0
R07000__e_r_,0.0,0.0
R00659__chlo,0.0,-1.777243423528934e-15
TZ3100041_E_R___ermem,0.0,0.00012404487641369766
R08310__cytop,0.0,0.0
ATPase__chlo,3.2774188370568664,3.4608088177985974
R01030__extr,0.0,0.0
R02199__cytop,0.0,0.0
R05633__chlo,0.0057185885315710035,0.0057185885315705984
R00900__chlo,0.0,0.0
R04204__mito,0.0,-6.233061925131504e-16
EX_C00870__dra,0.0,0.0
EX_C00038__dra,0.0,0.0
R03416__extr,0.0,0.0
R01700__mito,0.0,0.0503439719900582
R00127__cytop,-0.135871190159868,-0.04762497437014665
EX_C00385__dra,0.0,3.118631959546463e-16
R06722__golg,0.0,0.0
R08287__chlo,0.0,0.0
R01857__mito,0.0,0.0
R02570__mito,0.0,0.0591941298496917
EX_C04438__dra,0.0,0.0
R00833__mito,1.8448093212523876e-06,1.8448093229909799e-06
R03652__cytop,0.0008429166628818457,0.0008429166628818486
R08345__chlo,0.0,0.0
TO3000350_PLAS__plas,0.0,0.0
R08175__cytop,0.0,0.0
R12459__cytop,-9.051899839801952e-16,3.5772543065385577e-16
TO3000759_PLAS__plas,0.0,1.0135553868525985e-15
R07891__pero,0.0,0.0
R00935__mito,0.0,1.7375235203187448e-15
R09658__chlo,0.0,0.0002105618791276417
R07108__cytop,0.0,0.0
