,flux_wt,flux_nd,ratio
R00330__mito,0.0,0.0,
R00662__cytop,0.0,0.0,
R00021__chlo,0.0,0.0,
T_L_Threonine_V1__mitmem,0.0,0.0,
T_5_Deoxyadenosine_V1__mitmem,0.00036050000000000014,0.0003572227243891766,0.990909082910337
R00028__cytop,0.0,0.0,
TR2000129_PLAS__mitmem,0.0,0.0,
R01138__mito,0.0,0.0,
R01194__cytop,0.0,0.0,
TZ3100045_PLAS__ermem,0.0,0.0,
R02408__mito,0.0,0.0,
R08632__cytop,0.0,0.0,
R01470__extr,0.0,0.0,
R07085__chlo,0.0,0.0,
R07093__e_r_,0.0,0.0,
R07000__e_r_,0.0,0.0,
R00659__chlo,0.0,0.0,
TZ3100041_E_R___ermem,0.0,0.0,
R08310__cytop,0.0,0.0,
ATPase__chlo,254.18597523955268,364.49554272914116,1.4339718876528469
R01030__extr,0.0,0.0,
R02199__cytop,0.0,0.0,
R05633__chlo,0.5587436983000001,0.5536642056643832,0.9909090829103371
R00900__chlo,0.0,0.0,
R04204__mito,0.0,0.0,
EX_C00870__dra,0.0,0.0,
EX_C00038__dra,0.0,0.0,
R03416__extr,0.0,0.0,
