	fluxes	reduced_costs
R05165__chlo	0.0	-2.0
e_RNA__cytop	0.0007731821638723501	-2.0
R07056__chlo	0.0	-2.0
RXN_12997__e_r_	0.0027205882208473655	-2.0
R12427__mito	0.0	-2.0
R07135__cytop	0.0	2.000000000001819
TI2000430_PLAS__plas	0.0	-2.0
R06960__cytop	0.0	2.0
R08162__cytop	0.0	-2.0
R06286__chlo	0.0	-2.0
EX_C03855__dra	-0.0	-2.0
R00357__cytop	0.039197434841521314	-2.0
R07396__cytop	9.312286312293015e-05	-2.0
R03777__mito	0.0	-2.0
R04543__mito	0.0	-2.0
TO1000588_PLAS__plas	0.0	-2.0
R08258__cytop	0.0	-2.0
R01082__chlo	0.0	-2.0
R00569__golg	0.0	-2.0
TI3000282_PLAS__ermem	3.511391735236073e-05	-2.0
R04137__chlo	0.0	2.0
R02208__e_r_	0.0	-2.0
TR2000106_PLAS__chlomem	0.0	-2.0
TO1000085_PLAS__plas	0.0	-2.0
R03552__nucl	0.0	-2.0
R07009__cytop	0.0	-2.0
TR2900003_PLAS__mitmem	0.0	-2.0
R05615__cytop	0.0	-2.0
R09381__e_r_	0.0	-2.0
R05046__cytop	1.926712716806764e-06	-1.999999999996362
R04957__chlo	0.009692144211127593	-2.0
R07606__chlo	0.0	-2.0
EX_C08334__dra	0.0	1452.1756806025987
R05002__cytop	0.0	-1.999999999998181
R07897__mito	0.0	2.0
R02035__chlo	0.0	-2.0
R00959__cytop	-0.0065729195081391635	2.0
R00465__chlo	0.0054227940096897706	-2.0
R03968__mito	0.0	0.0
R01899__mito	0.0	-2.0
R04681__cytop	0.0	-2.0
RXN_13298__e_r_	0.0	-2.0
EX_C00378__dra	-0.0	-2.0
R07080__chlo	0.0	-2.0
R07889__mito	0.0	-2.0
R02372__cytop	0.0	2107.7635209038854
R10991__cytop	0.0	-2.0
R04737__pero	0.0	-1.9999999999672582
EX_C11004__dra	-0.0	-2.0
R04536__cytop	0.0	-2.0
R02078__cytop	0.0	-2.0
R00706__mito	0.0	-2.0
R01492__mito	0.0	-2.0
R04738__chlo	0.0	2.0
T_H2O_V2__mitmem	-0.14889514916357316	2.0
R07267__chlo	0.0	-2.0
R05731__e_r_	0.0	-2.0
R03654__chlo	0.0	-2.0
EX_C00088__dra	0.0	33.0
R01401__cytop	9.312286312293015e-05	-1.999999999998181
R04429__mito	0.0	-2.0
R11043__e_r_	0.0040264902053461	-2.0
R01827__chlo	0.0	3.637978807091713e-12
R07083__cytop	0.0	-2.0
T_UMP__chlomem	0.00038439203136620055	-2.0
R02241__e_r_	0.0011399097943655676	-2.0
R00710__mito	0.0	521.0585602008593
R08312__chlo	0.0	-2.0
RXN_21837__e_r_	0.0	-2.0
R06366__mito	0.0	-2.0
R07048__chlo	0.0	-2.0
R07113__cytop	0.0	-2.0
T_ADP__chlomem	0.005281493319051478	-2.0
R01049__chlo	0.00029377407762768066	-2.0
R00885__cytop	4.799653798822658e-05	-2.0000000000004547
R09653__chlo	0.00020658302790066736	-2.0
T_AKGICITtm__mitmem	0.0	0.0
R07136__mito	0.0	2.0
R00115__mito	0.0	-2.0
R11262__cytop	0.0	-2.0
T_SAMT1_V1__mitmem	3.346498087095933e-06	-2.0
T_CMP__chlomem	-0.00566164666136506	2.0
R12423__mito	0.0	-2.0
R07898__mito	0.0	-2.0
T_alpha_D_Glucose__ermem	0.0	-2.0
R01519__cytop	0.0	-2.0
R00192__cytop	0.0019066175804872704	-2.0
R03674__cytop	0.0	-2.0
R00187__cytop	0.0	-2.0
R01101__cytop	0.0	-2.0
R00274__chlo	0.04976915625946218	-2.0
R02568__chlo	0.0	2.0
R10633__nucl	0.0	-2.0
R09366__mito	0.0	-2.0
R00335__cytop	0.0	2231.7635209038817
R02133__cytop	0.0	-2.0
R09735__cytop	0.0	-2.0
R10953__cytop	0.0	2.0
R04929__cytop	0.0	-2.0
R00156__mito	0.0	-2.000000000001819
TO3000773_PLAS__plas	0.0	-2.0
R01281__e_r_	0.0	-2.0
TZ3101427_PLAS__plas	0.0	-2.0
R06272__chlo	0.0	-2.0
EX_C05684__dra	-0.0	-2.0
EX_G00012__dra	-0.0	-2.0
R07762__chlo	0.005041627750668716	-2.0
R00287__chlo	0.0	2497.2928010043142
DEDOLP2__chlo	0.0	-2.0
R02906__cytop	0.0	2.0
R00330__mito	0.0	3.999999999996362
R00662__cytop	0.0	2229.7635209038817
R00021__chlo	0.0	-2.0
T_L_Threonine_V1__mitmem	0.0	2.0
T_5_Deoxyadenosine_V1__mitmem	3.6198983126750942e-06	-2.0
R00028__cytop	0.0	-2.0
TR2000129_PLAS__mitmem	0.0	0.0
R01138__mito	0.0	-2.0
R01194__cytop	0.0	-2.0
